price,zip_code,construction_year,total_area_sqm,surface_land_sqm,nbr_bedrooms,fl_open_fire,fl_terrace,fl_garden,garden_sqm,fl_swimming_pool,subproperty_type_encoded,region_encoded,epc_encoded,state_encoded,province_encoded
285000.0,4121.0,1918.0,143.0,839.0,5.0,0.0,1.0,1.0,500.0,0.0,0,1,8,1,4
379000.0,2620.0,1971.0,251.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0,0,5,2,2
220000.0,1200.0,1948.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2,9,1,5
215000.0,4530.0,1979.0,148.0,600.0,3.0,0.0,1.0,1.0,400.0,0.0,0,1,9,1,4
350595.0,4130.0,2022.0,103.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,1,2,0,4
245000.0,8430.0,2001.0,69.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,0,4,1,0
249000.0,2100.0,1933.0,145.0,80.0,6.0,1.0,1.0,0.0,0.0,0.0,0,0,7,2,2
335000.0,4000.0,1959.0,155.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,1,4,5,4
390000.0,5310.0,1900.0,290.0,2490.0,5.0,0.0,0.0,1.0,1500.0,0.0,0,1,5,2,8
480000.0,2150.0,2022.0,179.0,166.0,5.0,0.0,1.0,1.0,77.0,0.0,0,0,2,0,2
193000.0,2440.0,2022.0,100.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,3,0,2
230000.0,8400.0,2008.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,3,1,0
329000.0,1030.0,1958.0,120.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,2,5,5,5
414500.0,9300.0,2021.0,133.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0,2,1,1
288250.0,7712.0,1977.0,166.0,202.0,3.0,1.0,0.0,0.0,0.0,0.0,0,1,4,1,3
549000.0,1730.0,1966.0,167.0,3040.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,6
305000.0,3018.0,1940.0,105.0,199.0,2.0,1.0,1.0,1.0,125.0,0.0,0,0,4,1,6
115000.0,7500.0,2021.5,82.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,1,4,0,3
310000.0,3945.0,2023.0,141.0,572.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,2,1,7
271000.0,3440.0,2022.0,81.0,0.0,2.0,0.0,1.0,1.0,20.0,0.0,1,0,2,0,6
299400.0,3800.0,2022.0,98.0,0.0,2.0,0.0,1.0,1.0,59.0,0.0,1,0,2,1,7
179000.0,8420.0,1987.0,442.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,5,1,0
325000.0,1190.0,1975.0,105.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,2,5,0,5
695000.0,1700.0,1934.0,380.0,1000.0,6.0,0.0,0.0,1.0,680.0,0.0,0,0,7,2,6
449000.0,9340.0,1966.0,166.0,324.0,3.0,0.0,1.0,0.0,0.0,0.0,0,0,4,0,1
352000.0,1300.0,2021.0,112.0,0.0,3.0,0.0,1.0,1.0,80.0,0.0,1,1,3,0,9
462200.0,4020.0,2024.0,126.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1,1,1,0,4
463904.0,9620.0,1972.0,170.0,347.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,7,1,1
269000.0,2100.0,1977.0,85.0,0.0,2.0,0.0,0.0,1.0,25.0,0.0,1,0,3,1,2
750000.0,2440.0,1973.0,166.0,6500.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,7,1,2
467000.0,1160.0,1932.0,136.0,68.0,3.0,0.0,1.0,0.0,0.0,0.0,0,2,9,1,5
349900.0,9280.0,1976.0,200.0,216.0,5.0,1.0,0.0,0.0,0.0,0.0,0,0,5,1,1
398000.0,9800.0,1966.0,226.0,962.0,3.0,1.0,1.0,0.0,0.0,0.0,0,0,8,5,1
230000.0,5660.0,2007.5,166.0,221.0,5.0,0.0,0.0,0.0,0.0,0.0,0,1,9,2,8
169000.0,9450.0,1972.0,128.0,250.0,3.0,0.0,1.0,0.0,0.0,0.0,0,0,7,2,1
219000.0,1070.0,2011.0,75.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,2,4,1,5
330000.0,8400.0,2008.0,79.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,0,3,1,0
310000.0,4031.0,2024.0,96.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,1,1,0,4
350000.0,4170.0,1959.0,286.0,1600.0,4.0,1.0,0.0,0.0,0.0,0.0,0,1,8,2,4
590000.0,9200.0,1964.0,166.0,928.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,8,1,1
253000.0,8450.0,2023.0,92.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,0,2,1,0
185000.0,4500.0,2021.0,81.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,1,8,0,4
255000.0,2300.0,2010.0,93.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,3,0,2
385875.0,2640.0,1977.0,98.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1,0,3,1,2
790000.0,3000.0,1949.0,480.0,256.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,7,5,6
197455.0,7333.0,2022.0,84.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,1,3,0,3
495000.0,6230.0,1950.0,166.0,1000.0,5.0,1.0,1.0,1.0,500.0,0.0,0,1,4,0,3
360000.0,6220.0,1978.0,135.0,1154.0,3.0,0.0,1.0,0.0,0.0,0.0,0,1,4,1,3
348800.0,9420.0,1972.0,133.0,300.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,7,1,1
224000.0,9470.0,2005.0,78.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,0,3,1,1
375000.0,8000.0,1978.0,188.0,198.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,5,1,0
